Date,Spot_AUD_g,Spot_CNY_g,MA50_AUD,MA200_AUD,Est_Shop_AUD,Taobao_1g_CNY,Taobao_5g_CNY
2026-02-20 17:49,231.22,1129.91,212.22,176.57,265.9,,
2026-02-20 17:54,230.98,1130.26,211.93,176.33,265.62,,
2026-02-20 17:56,231.21,1130.75,212.06,176.43,265.89,,
2026-02-21 02:25,233.75,1139.38,212.81,177.04,268.81,,
2026-02-21 02:28,233.75,1139.38,212.81,177.04,,,
2026-02-21 02:30,233.75,1139.38,212.81,177.04,,,
2026-07-15 22:19,186.98,884.07,199.39,205.44,,,
2026-07-15 22:51,186.8,883.56,199.32,205.37,226.31,909.0,4545.0
2026-07-15 23:02,186.68,883.11,199.29,205.34,226.44,903.0,4500.0
2026-07-15 23:14,186.67,884.59,199.28,205.32,226.31,903.0,4500.0
